org_id,canonical_name,raw_name,normalized_name,clean_name,frequency,source_count,sources,type_info,sector_info,known_group_info,org_signal,all_raw_names,old_org_id,sample_aliases,manual_is_correct_alignment,manual_note
ORG_005749,BEN BERNANKE,BEN BERNANKE,BEN BERNANKE,BEN BERNANKE,8,1,GDELT,GOV BUS NAN NAN,,,8,,ORG_008641,BEN BERNANKE,,
ORG_008266,WEBSTER SHAMU,WEBSTER SHAMU,WEBSTER SHAMU,WEBSTER SHAMU,2,1,GDELT,GOV MED LEG NAN,,,2,,ORG_014255,WEBSTER SHAMU,,
ORG_007227,MINIST OF EUROPEAN AFFAIRS,MINIST OF EUROPEAN AFFAIRS,MINIST OF EUROPEAN AFFAIRS,MINIST OF EUROPEAN AFFAIRS,4,1,GDELT,GOV NAN NAN NAN,,,4,,ORG_011608,MINIST OF EUROPEAN AFFAIRS,,
ORG_005009,DAEGU,DAEGU,DAEGU,DAEGU,12,1,GDELT,GOV NAN NAN NAN;JUD NAN NAN NAN,,,12,,ORG_007248,DAEGU,,
ORG_005383,MINISTRY OF MINING (BRAZIL),Ministry of Mining (Brazil),MINISTRY OF MINING (BRAZIL),MINISTRY OF MINING,9,1,ICEWS,,EXECUTIVE;GOVERNMENT;INDUSTRIAL / TEXTILES / MINING MINISTRY,,9,,ORG_007951,Ministry of Mining (Brazil); MINISTRY OF MINING (BRAZIL); Ministry of Mining (South Africa); MINISTRY OF MINING (SOUTH AFRICA); Ministry of Mining (Serbia),,
ORG_007894,ALBERTO TREJOS,ALBERTO TREJOS,ALBERTO TREJOS,ALBERTO TREJOS,2,1,GDELT,GOV BUS NAN NAN,,,2,,ORG_013879,ALBERTO TREJOS,,
ORG_001544,FREEDOM HOUSE,Freedom House,FREEDOM HOUSE,FREEDOM HOUSE,218,2,GDELT;ICEWS,NGO HRI GOV NAN;NGO HRI JUD NAN;NGO HRI NAN NAN,HUMAN RIGHTS IGOS;INFORMATION / COMMUNICATION / TRANSPARENCY IGOS;NONGOVERNMENTAL ORGANIZATION (INTERNATIONAL),,218,,ORG_001701,FREEDOM HOUSE; Freedom House,,
ORG_004962,KAZAN,KAZAN,KAZAN,KAZAN,12,1,GDELT,EDU NAN NAN NAN,,,12,,ORG_007200,KAZAN,,
ORG_000744,CABINET MINISTER,CABINET MINISTER,CABINET MINISTER,CABINET MINISTER,848,1,GDELT,GOV NAN NAN NAN,,,848,,ORG_000780,CABINET MINISTER,,
ORG_006837,INTERNATIONAL ASSOCIATION OF SCHOOLS OF SOCIAL WORK,INTERNATIONAL ASSOCIATION OF SCHOOLS OF SOCIAL WORK,INTERNATIONAL ASSOCIATION OF SCHOOLS OF SOCIAL WORK,INTERNATIONAL ASSOCIATION OF SCHOOLS OF SOCIAL WORK,4,1,GDELT,NGO EDU NAN NAN,,,4,,ORG_011211,INTERNATIONAL ASSOCIATION OF SCHOOLS OF SOCIAL WORK,,
