方法,证据强度分组,动作,数量,组内占比
LLM-only,中等证据关系边,filtered,1671,2.75%
LLM-only,中等证据关系边,keep,59073,97.25%
LLM-only,低证据关系边,filtered,4317,4.86%
LLM-only,低证据关系边,keep,84491,95.14%
LLM-only,高证据关系边,filtered,72,3.59%
LLM-only,高证据关系边,keep,1933,96.41%
NoConstraint,中等证据关系边,keep,60744,100.00%
NoConstraint,低证据关系边,keep,88808,100.00%
NoConstraint,高证据关系边,keep,2005,100.00%
PaTeCon-Direct,中等证据关系边,filtered,17020,28.02%
PaTeCon-Direct,中等证据关系边,keep,43724,71.98%
PaTeCon-Direct,低证据关系边,filtered,26728,30.10%
PaTeCon-Direct,低证据关系边,keep,62080,69.90%
PaTeCon-Direct,高证据关系边,filtered,648,32.32%
PaTeCon-Direct,高证据关系边,keep,1357,67.68%
SSTC-Fusion,中等证据关系边,keep,56959,93.77%
SSTC-Fusion,中等证据关系边,mark_mixed,350,0.58%
SSTC-Fusion,中等证据关系边,review,3435,5.65%
SSTC-Fusion,低证据关系边,keep,79628,89.66%
SSTC-Fusion,低证据关系边,mark_mixed,1121,1.26%
SSTC-Fusion,低证据关系边,review,8059,9.07%
SSTC-Fusion,高证据关系边,keep,1525,76.06%
SSTC-Fusion,高证据关系边,mark_mixed,65,3.24%
SSTC-Fusion,高证据关系边,review,415,20.70%
